Date,Generated_kWh
4/4/2024,6497.848
4/5/2024,5732.067
4/6/2024,5996.231
4/7/2024,3606.17
4/8/2024,6659.969
4/9/2024,6664.284
4/10/2024,6590.576
4/11/2024,6576.948
4/12/2024,6053.917
4/13/2024,5105.248
4/14/2024,6283.961
4/15/2024,6271.699
4/16/2024,5039.587
4/17/2024,1897.945
4/18/2024,6145.805
4/19/2024,4011.29
4/20/2024,4505.494
4/21/2024,3307.634
4/22/2024,3945.821
4/23/2024,1216.51
4/24/2024,6131.725
4/25/2024,3104.61
4/26/2024,6730.343
4/27/2024,5237.648
4/28/2024,6611.162
4/29/2024,6375.59
4/30/2024,4921.696
5/1/2024,4471.536
5/2/2024,5772.225
5/3/2024,3702.504
5/4/2024,3584.121
5/5/2024,6990.819
5/6/2024,6829.45
5/7/2024,6460.444
5/8/2024,5794.024
5/9/2024,5301.733
5/10/2024,1044.504
5/11/2024,3872.221
5/12/2024,6579.276
5/13/2024,6007.701
5/14/2024,1795.759
5/15/2024,1705.524
5/16/2024,1321.289
5/17/2024,6132.768
5/18/2024,6256.532
5/19/2024,4255.149
5/20/2024,5485.074
5/21/2024,5686.328
5/22/2024,6509.426
5/23/2024,6316.062
5/24/2024,6730.487
5/25/2024,6427.825
5/26/2024,6274.672
5/27/2024,6623.742
5/28/2024,5381.349
5/29/2024,6120.793
5/30/2024,6473.117
5/31/2024,6159.159
6/1/2024,6540.593
6/2/2024,5789.589
6/3/2024,5561.991
6/4/2024,6418.949
6/5/2024,6327.101
6/6/2024,5600.352
6/7/2024,5914.718
6/8/2024,5710.667
6/9/2024,5465.716
6/10/2024,5607.656
6/11/2024,6033.65
6/12/2024,6197.906
6/13/2024,3849.756
6/14/2024,6015.079
6/15/2024,6488.622
6/16/2024,6428.21
6/17/2024,6182.033
6/18/2024,6244.208
6/19/2024,6229.108
6/20/2024,6239.049
6/21/2024,5978.167
6/22/2024,6151.997
6/23/2024,6199.715
6/24/2024,6213.27
6/25/2024,6221.524
6/26/2024,6191.721
6/27/2024,6216.123
6/28/2024,4240.607
6/29/2024,5695.73
6/30/2024,6306.01
7/1/2024,6158.338
7/2/2024,5486.341
7/3/2024,6018.861
7/4/2024,3651.898
7/5/2024,6463.292
7/6/2024,6245.133
7/7/2024,6538.468
7/8/2024,6365.863
7/9/2024,6285.118
7/10/2024,6294.081
7/11/2024,5546.787
7/12/2024,6345.205
7/13/2024,6163.088
7/14/2024,6040.757
7/15/2024,6422.397
7/16/2024,6344.186
7/17/2024,6026.526
7/18/2024,5996.108
7/19/2024,5038.202
7/20/2024,6095.557
7/21/2024,5991.672
7/22/2024,5385.288
7/23/2024,4779.461
7/24/2024,5921.529
7/25/2024,4109.338
7/26/2024,6300.26
7/27/2024,6284.983
7/28/2024,6350.517
7/29/2024,6253.481
7/30/2024,6430.748
7/31/2024,5860.109
8/1/2024,6396.232
8/2/2024,6207.348
8/3/2024,6056.047
8/4/2024,5282.57
8/5/2024,5587.7
8/6/2024,6246.599
8/7/2024,6338.244
8/8/2024,6238.461
8/9/2024,5217.268
8/10/2024,6042.406
8/11/2024,6216.562
8/12/2024,6197.69
8/13/2024,6038.485
8/14/2024,6173.604
8/15/2024,5946.148
8/16/2024,5208.66
8/17/2024,5891.244
8/18/2024,5623.031
8/19/2024,5910.911
8/20/2024,4232.046
8/21/2024,3498.691
8/22/2024,5779.262
8/23/2024,5590.336
8/24/2024,5753.128
8/25/2024,6180.575
8/26/2024,4459.888
8/27/2024,5938.381
8/28/2024,4023.178
8/29/2024,4631.862
8/30/2024,3736.614
8/31/2024,3328.472
9/1/2024,3740.439
9/2/2024,5940.333
9/3/2024,5528.204
9/4/2024,5467.597
9/5/2024,5609.982
9/6/2024,5259.37
9/7/2024,4600.644
9/8/2024,4867.775
9/9/2024,4785.765
9/10/2024,970.369
9/11/2024,4842.345
9/12/2024,5942.179
9/13/2024,3660.685
9/14/2024,3544.631
9/15/2024,6159.078
9/16/2024,5513.346
9/17/2024,3680.129
9/18/2024,1106.735
9/19/2024,4160.808
9/20/2024,4796.5
9/21/2024,5498.469
9/22/2024,5781.072
9/23/2024,5748.771
9/24/2024,4793.323
9/25/2024,5571.3
9/26/2024,5516.21
9/27/2024,5572.153
9/28/2024,5518.626
9/29/2024,3945.251
9/30/2024,5981.97
10/1/2024,6006.494
10/2/2024,5744.037
10/3/2024,5453.932
10/4/2024,4781.358
10/5/2024,1473.501
10/6/2024,5191.833
10/7/2024,5623.471
10/8/2024,5254.853
10/9/2024,3685.613
10/10/2024,4237.322
10/11/2024,3049.192
10/12/2024,3980.178
10/13/2024,3906.167
10/14/2024,4671.569
10/15/2024,5108.654
10/16/2024,5163.84
10/17/2024,2240.685
10/18/2024,3865.919
10/19/2024,4010.021
10/20/2024,5171.392
10/21/2024,5202.171
10/22/2024,5175.022
10/23/2024,5153.359
10/24/2024,4996.017
10/25/2024,4598.235
10/26/2024,5020.001
10/27/2024,4953.696
10/28/2024,4750.302
10/29/2024,4252.351
10/30/2024,2762.833
10/31/2024,3330.462
11/1/2024,4279.472
11/2/2024,4526.187
11/3/2024,1523.015
11/4/2024,4194.082
11/5/2024,4360.703
11/6/2024,4575.138
11/7/2024,4641.807
11/8/2024,4654.272
11/9/2024,4633.188
11/10/2024,3637.608
11/11/2024,3522.878
11/12/2024,1237.751
11/13/2024,535.272
11/14/2024,444.481
11/15/2024,318.363
11/16/2024,936.085
11/17/2024,4379.201
11/18/2024,4312.741
11/19/2024,3828.69
11/20/2024,3061.489
11/21/2024,1160.102
11/22/2024,1826.278
11/23/2024,4270.313
11/24/2024,4334.775
11/25/2024,2321.346
11/26/2024,3842.051
11/27/2024,3830.456
11/28/2024,969.841
11/29/2024,1603.351
11/30/2024,202.944
12/1/2024,373.558
12/2/2024,409.092
12/3/2024,3766.367
12/4/2024,516.594
12/5/2024,1222.533
12/6/2024,981.751
12/7/2024,215.531
12/8/2024,2582.188
12/9/2024,2578.355
12/10/2024,3067.82
12/11/2024,3493.07
12/12/2024,3695.074
12/13/2024,3660.718
12/14/2024,590.701
12/15/2024,1395.72
12/16/2024,3823.657
12/17/2024,3754.435
12/18/2024,3671.951
12/19/2024,3086.333
12/20/2024,1737.742
12/21/2024,352.276
12/22/2024,3726.979
12/23/2024,1429.777
12/24/2024,3621.063
12/25/2024,641.292
12/26/2024,313.622
12/27/2024,2931.336
12/28/2024,3671.368
12/29/2024,2936.603
12/30/2024,3776.459
12/31/2024,3613.492
